Player Name,Club,Assists
Mohamed Salah,Liverpool,18
Jacob Murphy,Newcastle United,12
Anthony Elanga,Nottingham Forest,11
Bruno Fernandes,Manchester United,10
Morgan Rogers,Aston Villa,10
Bukayo Saka,Arsenal,10
Mikkel Damsgaard,Brentford,10
Antonee Robinson,Fulham,10
Son Heung-Min,Tottenham Hotspur,9
Savinho,Manchester City,8
Jarrod Bowen,West Ham United,8
Morgan Gibbs-White,Nottingham Forest,8
Cole Palmer,Chelsea,8
Eberechi Eze,Crystal Palace,8
Ollie Watkins,Aston Villa,8
Martin Ødegaard,Arsenal,8
Declan Rice,Arsenal,7
Jean-Ricner Bellegarde,Wolverhampton Wanderers,7
Rayan Aït-Nouri,Wolverhampton Wanderers,7
James Maddison,Tottenham Hotspur,7
