Player Name,Club,Position,Minutes,Chance_Creation
Joël Veltman,Brighton & Hove Albion,DEF,1699,726
Brennan Johnson,Tottenham Hotspur,MID,2179,663
Martin Ødegaard,Arsenal,MID,2328,651
Marshall Munetsi,Wolverhampton Wanderers,MID,1079,629
Ben White,Arsenal,DEF,1198,609
Bruno Fernandes,Manchester United,MID,3024,547
Cody Gakpo,Liverpool,FWD,1938,532
Alex Iwobi,Fulham,MID,2994,527
Iliman Ndiaye,Everton,FWD,2440,524
Emmanuel Agbadou,Wolverhampton Wanderers,DEF,1411,515
Dean Huijsen,Bournemouth,DEF,2422,510
Milos Kerkez,Bournemouth,DEF,3342,506
Mohammed Kudus,West Ham United,MID,2601,502
Kenny Tete,Fulham,DEF,1779,486
Yoane Wissa,Brentford,FWD,2927,482
Toti Gomes,Wolverhampton Wanderers,DEF,2615,481
Malo Gusto,Chelsea,DEF,1858,478
Taylor Harwood-Bellis,Southampton,DEF,2828,476
Mikel Merino,Arsenal,MID,1581,461
Ryan Manning,Southampton,DEF,1468,459
Rúben Dias,Manchester City,DEF,2269,453
Bruno Guimarães,Newcastle United,MID,3282,445
Alexander Isak,Newcastle United,FWD,2769,437
Sasa Lukic,Fulham,MID,2355,436
Moisés Caicedo,Chelsea,MID,3356,428
Antoine Semenyo,Bournemouth,MID,3209,411
James Justin,Leicester City,DEF,2920,410
Anthony Gordon,Newcastle United,MID,2444,409
Andreas Pereira,Fulham,MID,2022,407
Dominic Solanke,Tottenham Hotspur,FWD,2206,404
Lucas Paquetá,West Ham United,MID,2384,399
Julio Enciso,Ipswich Town,MID,1164,398
Victor Kristiansen,Leicester City,DEF,2489,397
Aaron Wan-Bissaka,West Ham United,DEF,3154,394
Caleb Okoli,Leicester City,DEF,1122,386
Declan Rice,Arsenal,MID,2833,386
Pedro Neto,Chelsea,MID,2268,380
Matheus Cunha,Wolverhampton Wanderers,MID,2600,376
Pervis Estupiñán,Brighton & Hove Albion,DEF,2403,374
Simon Adingra,Brighton & Hove Albion,MID,1091,373
Kyle Walker,Manchester City,DEF,967,371
Riccardo Calafiori,Arsenal,DEF,984,366
Kamaldeen Sulemana,Southampton,MID,1406,363
Mikkel Damsgaard,Brentford,MID,2926,358
Josko Gvardiol,Manchester City,DEF,3279,354
Edson Álvarez,West Ham United,MID,1781,353
Manuel Ugarte,Manchester United,MID,1789,349
Joelinton,Newcastle United,MID,2404,348
Kyle Walker-Peters,Southampton,DEF,2922,346
Emerson,West Ham United,GKP,2126,346
