Player Name,Club,Clean Sheets
David Raya,Arsenal,13
Matz Sels,Nottingham Forest,13
Jordan Pickford,Everton,12
Dean Henderson,Crystal Palace,11
Robert Sánchez,Chelsea,10
Ederson,Manchester City,10
Alisson Becker,Liverpool,9
André Onana,Manchester United,9
Nick Pope,Newcastle United,8
Emiliano Martínez,Aston Villa,8
Kepa,Bournemouth,8
Bart Verbruggen,Brighton & Hove Albion,7
Mark Flekken,Brentford,7
José Sá,Wolverhampton Wanderers,7
Martin Dúbravka,Newcastle United,5
Bernd Leno,Fulham,5
Guglielmo Vicario,Tottenham Hotspur,4
Caoimhín Kelleher,Liverpool,4
Alphonse Areola,West Ham United,4
Aaron Ramsdale,Southampton,3
