Player Name,Club,Position,Minutes,SCA_proxy
Brennan Johnson,Tottenham Hotspur,MID,2179,875
Joël Veltman,Brighton & Hove Albion,DEF,1699,825
Marshall Munetsi,Wolverhampton Wanderers,MID,1079,763
Ben White,Arsenal,DEF,1198,724
Martin Ødegaard,Arsenal,MID,2328,721
Milos Kerkez,Bournemouth,DEF,3342,712
Bruno Fernandes,Manchester United,MID,3024,711
Alex Iwobi,Fulham,MID,2994,703
Toti Gomes,Wolverhampton Wanderers,DEF,2615,696
Emmanuel Agbadou,Wolverhampton Wanderers,DEF,1411,679
Cody Gakpo,Liverpool,FWD,1938,675
Mikel Merino,Arsenal,MID,1581,655
Yoane Wissa,Brentford,FWD,2927,641
Kenny Tete,Fulham,DEF,1779,624
Bruno Guimarães,Newcastle United,MID,3282,616
Mohammed Kudus,West Ham United,MID,2601,609
Dean Huijsen,Bournemouth,DEF,2422,596
Pedro Neto,Chelsea,MID,2268,594
Taylor Harwood-Bellis,Southampton,DEF,2828,591
Iliman Ndiaye,Everton,FWD,2440,582
Antoine Semenyo,Bournemouth,MID,3209,581
Moisés Caicedo,Chelsea,MID,3356,563
Rúben Dias,Manchester City,DEF,2269,544
Malo Gusto,Chelsea,DEF,1858,525
Ryan Manning,Southampton,DEF,1468,522
Alexander Isak,Newcastle United,FWD,2769,519
Andreas Pereira,Fulham,MID,2022,517
Aaron Wan-Bissaka,West Ham United,DEF,3154,515
Anthony Gordon,Newcastle United,MID,2444,514
Lucas Digne,Aston Villa,DEF,2358,513
Mikkel Damsgaard,Brentford,MID,2926,511
James Justin,Leicester City,DEF,2920,509
Victor Kristiansen,Leicester City,DEF,2489,506
Sasa Lukic,Fulham,MID,2355,501
Declan Rice,Arsenal,MID,2833,487
Julio Enciso,Ipswich Town,MID,1164,485
Dominic Solanke,Tottenham Hotspur,FWD,2206,481
Kyle Walker-Peters,Southampton,DEF,2922,472
Lucas Paquetá,West Ham United,MID,2384,470
Kamaldeen Sulemana,Southampton,MID,1406,464
Levi Colwill,Chelsea,DEF,3149,464
Jan Bednarek,Southampton,DEF,2535,463
Joelinton,Newcastle United,MID,2404,455
Edson Álvarez,West Ham United,MID,1781,452
Matheus Cunha,Wolverhampton Wanderers,MID,2600,450
Anthony Elanga,Nottingham Forest,MID,2507,450
Pervis Estupiñán,Brighton & Hove Albion,DEF,2403,447
Mateus Fernandes,Southampton,MID,2919,442
Simon Adingra,Brighton & Hove Albion,MID,1091,442
Jacob Greaves,Ipswich Town,DEF,2205,441
