Player Name,Club,Position,Minutes,SCA_proxy_per90
Marshall Munetsi,Wolverhampton Wanderers,MID,1079,63.64226135310473
Ben White,Arsenal,DEF,1198,54.3906510851419
Joël Veltman,Brighton & Hove Albion,DEF,1699,43.7021777516186
Emmanuel Agbadou,Wolverhampton Wanderers,DEF,1411,43.309709425939054
Kyle Walker,Manchester City,DEF,967,40.951396070320584
Riccardo Calafiori,Arsenal,DEF,984,38.048780487804876
Julio Enciso,Ipswich Town,MID,1164,37.5
Mikel Merino,Arsenal,MID,1581,37.2865275142315
Simon Adingra,Brighton & Hove Albion,MID,1091,36.461961503208066
Brennan Johnson,Tottenham Hotspur,MID,2179,36.14043139054612
David Brooks,Bournemouth,MID,949,35.468914646996836
Rodrigo Muniz,Fulham,FWD,951,34.921135646687695
Caleb Okoli,Leicester City,DEF,1122,34.57219251336898
Paul Onuachu,Southampton,FWD,1044,34.48275862068966
Álex Moreno,Nottingham Forest,DEF,959,34.254431699687174
Christian Eriksen,Manchester United,MID,1059,34.164305949008494
Christopher Nkunku,Chelsea,MID,911,32.20636663007684
Mads Roerslev,Brentford,DEF,1096,32.02554744525548
Ryan Manning,Southampton,DEF,1468,32.002724795640326
Kenny Tete,Fulham,DEF,1779,31.568296795952783
Cody Gakpo,Liverpool,FWD,1938,31.34674922600619
Kamaldeen Sulemana,Southampton,MID,1406,29.70128022759602
Martin Ødegaard,Arsenal,MID,2328,27.873711340206185
Marcus Rashford,Aston Villa,MID,1426,26.886395511921457
Igor Julio,Brighton & Hove Albion,DEF,960,26.8125
Jérémy Doku,Manchester City,MID,1513,25.697290152015864
Sam Szmodics,Ipswich Town,FWD,1001,25.444555444555444
Malo Gusto,Chelsea,DEF,1858,25.430570505920343
Toti Gomes,Wolverhampton Wanderers,DEF,2615,23.95411089866157
Omar Marmoush,Manchester City,FWD,1182,23.756345177664976
Pedro Neto,Chelsea,MID,2268,23.571428571428573
Dwight McNeil,Everton,MID,1371,23.566739606126916
Timothy Castagne,Fulham,DEF,1643,23.06147291539866
Lucas Bergvall,Tottenham Hotspur,MID,1206,23.059701492537314
Andreas Pereira,Fulham,MID,2022,23.01186943620178
Ian Maatsen,Aston Villa,DEF,1128,22.898936170212767
Mats Wieffer,Brighton & Hove Albion,MID,1008,22.857142857142858
Edson Álvarez,West Ham United,MID,1781,22.841100505334083
Jacob Ramsey,Aston Villa,MID,1628,22.168304668304668
Dean Huijsen,Bournemouth,DEF,2422,22.146985962014863
Eddie Nketiah,Crystal Palace,FWD,1026,22.105263157894736
Cristian Romero,Tottenham Hotspur,DEF,1420,21.866197183098592
Micky van de Ven,Tottenham Hotspur,DEF,1018,21.660117878192533
Rúben Dias,Manchester City,DEF,2269,21.577787571617453
Iliman Ndiaye,Everton,FWD,2440,21.4672131147541
Manuel Ugarte,Manchester United,MID,1789,21.430967020681948
Bruno Fernandes,Manchester United,MID,3024,21.160714285714285
Alex Iwobi,Fulham,MID,2994,21.132264529058116
Tyrone Mings,Aston Villa,DEF,1121,21.11507582515611
Mohammed Kudus,West Ham United,MID,2601,21.072664359861594
