Player Name,Club,Goals
Mohamed Salah,Liverpool,29
Alexander Isak,Newcastle United,23
Erling Haaland,Manchester City,22
Bryan Mbeumo,Brentford,20
Chris Wood,Nottingham Forest,20
Yoane Wissa,Brentford,19
Ollie Watkins,Aston Villa,16
Matheus Cunha,Wolverhampton Wanderers,15
Cole Palmer,Chelsea,15
Jean-Philippe Mateta,Crystal Palace,14
Cody Gakpo,Liverpool,10
Nicolas Jackson,Chelsea,10
João Pedro,Brighton & Hove Albion,10
Kaoru Mitoma,Brighton & Hove Albion,10
Danny Welbeck,Brighton & Hove Albion,10
Jamie Vardy,Leicester City,9
Iliman Ndiaye,Everton,9
Alex Iwobi,Fulham,9
Harvey Barnes,Newcastle United,9
Dominic Solanke,Tottenham Hotspur,9
